Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
6/30/2026,1,($27.00),($27.00),$0.00,($27.00),$0.00,($27.00),($27.00),0.00%,($27.00),$0.00,($27.00),$0.00,($27.00),4.32,$30.50,$18.00,$45.00,0.62%,
7/1/2026,15,$152.39,$179.39,$263.22,($83.83),$9.36,($67.29),($67.29),60.00%,$11.96,$29.25,($13.97),$90.00,($50.00),737.93,$23.63,$22.95,$10.99,9.32%,
7/2/2026,22,$719.91,$567.52,$975.22,($407.70),$12.48,($348.54),($348.54),68.18%,$25.80,$65.01,($58.24),$187.50,($247.50),506.18,$71.42,$66.36,$40.57,13.66%,
7/3/2026,14,$633.48,($86.43),$98.76,($185.19),$17.68,($108.51),($99.14),50.00%,($6.17),$14.11,($26.46),$30.42,($44.58),569.25,$18.84,$22.77,$28.94,8.70%,
7/6/2026,29,$1008.73,$375.25,$673.36,($298.11),$26.00,($199.55),($92.29),55.17%,$12.94,$42.09,($24.84),$90.42,($55.00),439.95,$35.99,$36.81,$23.87,18.01%,
7/7/2026,80,$1422.01,$413.28,$1384.48,($971.20),$96.72,($403.28),($403.28),61.25%,$5.17,$28.25,($32.37),$65.42,($100.00),310.98,$29.41,$30.00,$24.83,49.69%,
