Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES 09-26,Backtest,RollingFib,Short,1,6516.75,6517.75,7/7/2025 11:20:00 AM,7/7/2025 11:20:00 AM,C1L1,Stop loss,($6.90),($6.90),$1.90,$0.00,$0.00,$0.00,$0.00,$5.00,$0.00,$6.90,1,
2,MES 09-26,Backtest,RollingFib,Short,1,6516.75,6517.75,7/7/2025 11:20:00 AM,7/7/2025 11:20:00 AM,C1L2,Stop loss,($6.90),($13.80),$1.90,$0.00,$0.00,$0.00,$0.00,$5.00,$0.00,$6.90,1,
3,MES 09-26,Backtest,RollingFib,Short,1,6497.25,6497.25,7/7/2025 1:45:00 PM,7/7/2025 1:50:00 PM,A2L1,Stop loss,($1.90),($15.70),$1.90,$0.00,$0.00,$0.00,$0.00,$15.00,$22.50,$24.40,2,
4,MES 09-26,Backtest,RollingFib,Short,1,6497.25,6497.25,7/7/2025 1:45:00 PM,7/7/2025 1:50:00 PM,A2L2,Stop loss,($1.90),($17.60),$1.90,$0.00,$0.00,$0.00,$0.00,$15.00,$22.50,$24.40,2,
5,MES 09-26,Backtest,RollingFib,Long,1,6547.75,6546.25,7/10/2025 11:25:00 AM,7/10/2025 11:25:00 AM,C3L1,Stop loss,($9.40),($27.00),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$0.00,$9.40,1,
6,MES 09-26,Backtest,RollingFib,Long,1,6547.75,6546.25,7/10/2025 11:25:00 AM,7/10/2025 11:25:00 AM,C3L2,Stop loss,($9.40),($36.40),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$0.00,$9.40,1,
7,MES 09-26,Backtest,RollingFib,Short,1,6546.50,6547.50,7/15/2025 10:35:00 AM,7/15/2025 10:35:00 AM,C4L1,Stop loss,($6.90),($43.30),$1.90,$0.00,$0.00,$0.00,$0.00,$5.00,$0.00,$6.90,1,
8,MES 09-26,Backtest,RollingFib,Short,1,6546.50,6547.50,7/15/2025 10:35:00 AM,7/15/2025 10:35:00 AM,C4L2,Stop loss,($6.90),($50.20),$1.90,$0.00,$0.00,$0.00,$0.00,$5.00,$0.00,$6.90,1,
9,MES 09-26,Backtest,RollingFib,Long,1,6602.75,6604.50,7/23/2025 12:45:00 PM,7/23/2025 1:05:00 PM,A5L1,WndEnd,$6.85,($43.35),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$21.25,$14.40,5,
10,MES 09-26,Backtest,RollingFib,Long,1,6602.75,6604.50,7/23/2025 12:45:00 PM,7/23/2025 1:05:00 PM,A5L2,WndEnd,$6.85,($36.50),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$21.25,$14.40,5,
11,MES 09-26,Backtest,RollingFib,Short,1,6642.25,6643.75,7/28/2025 2:25:00 PM,7/28/2025 2:35:00 PM,C6L1,Stop loss,($9.40),($45.90),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$11.25,$20.65,3,
12,MES 09-26,Backtest,RollingFib,Short,1,6642.25,6643.75,7/28/2025 2:25:00 PM,7/28/2025 2:35:00 PM,C6L2,Stop loss,($9.40),($55.30),$1.90,$0.00,$0.00,$0.00,$0.00,$7.50,$11.25,$20.65,3,
13,MES 09-26,Backtest,RollingFib,Short,1,6606.00,6596.75,7/31/2025 2:20:00 PM,7/31/2025 2:20:00 PM,C7L1,Profit target,$44.35,($10.95),$1.90,$0.00,$0.00,$0.00,$0.00,$0.00,$46.25,$1.90,1,
14,MES 09-26,Backtest,RollingFib,Short,1,6606.00,6606.00,7/31/2025 2:20:00 PM,7/31/2025 2:20:00 PM,C7L2,Stop loss,($1.90),($12.85),$1.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.90,1,
15,MES 09-26,Backtest,RollingFib,Short,1,6484.25,6488.50,8/1/2025 1:20:00 PM,8/1/2025 1:25:00 PM,C8L1,Stop loss,($23.15),($36.00),$1.90,$0.00,$0.00,$0.00,$0.00,$21.25,$13.75,$36.90,2,
16,MES 09-26,Backtest,RollingFib,Short,1,6484.25,6488.50,8/1/2025 1:20:00 PM,8/1/2025 1:25:00 PM,C8L2,Stop loss,($23.15),($59.15),$1.90,$0.00,$0.00,$0.00,$0.00,$21.25,$13.75,$36.90,2,
17,MES 09-26,Backtest,RollingFib,Long,1,6570.50,6568.00,8/4/2025 10:35:00 AM,8/4/2025 10:35:00 AM,C9L1,Stop loss,($14.40),($73.55),$1.90,$0.00,$0.00,$0.00,$0.00,$12.50,$0.00,$14.40,1,
18,MES 09-26,Backtest,RollingFib,Long,1,6570.50,6568.00,8/4/2025 10:35:00 AM,8/4/2025 10:35:00 AM,C9L2,Stop loss,($14.40),($87.95),$1.90,$0.00,$0.00,$0.00,$0.00,$12.50,$0.00,$14.40,1,
19,MES 09-26,Backtest,RollingFib,Short,1,6563.25,6564.00,8/5/2025 3:40:00 PM,8/5/2025 3:40:00 PM,A10L1,Stop loss,($5.65),($93.60),$1.90,$0.00,$0.00,$0.00,$0.00,$3.75,$0.00,$5.65,1,
20,MES 09-26,Backtest,RollingFib,Short,1,6563.25,6564.00,8/5/2025 3:40:00 PM,8/5/2025 3:40:00 PM,A10L2,Stop loss,($5.65),($99.25),$1.90,$0.00,$0.00,$0.00,$0.00,$3.75,$0.00,$5.65,1,
21,MES 09-26,Backtest,RollingFib,Long,1,6586.50,6593.25,8/6/2025 11:25:00 AM,8/6/2025 11:30:00 AM,C11L1,Profit target,$31.85,($67.40),$1.90,$0.00,$0.00,$0.00,$0.00,$2.50,$33.75,$1.90,2,
22,MES 09-26,Backtest,RollingFib,Long,1,6586.50,6586.50,8/6/2025 11:25:00 AM,8/6/2025 11:45:00 AM,C11L2,Stop loss,($1.90),($69.30),$1.90,$0.00,$0.00,$0.00,$0.00,$2.50,$60.00,$61.90,5,
23,MES 09-26,Backtest,RollingFib,Short,1,6594.75,6597.50,8/7/2025 11:20:00 AM,8/7/2025 11:20:00 AM,C12L1,Stop loss,($15.65),($84.95),$1.90,$0.00,$0.00,$0.00,$0.00,$13.75,$0.00,$15.65,1,
