Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
6/30/2026,1,($27.00),($27.00),$0.00,($27.00),$0.00,($27.00),($27.00),0.00%,($27.00),$0.00,($27.00),$0.00,($27.00),4.32,$30.50,$18.00,$45.00,1.20%,
7/1/2026,15,$152.39,$179.39,$263.22,($83.83),$9.36,($61.25),($61.25),60.00%,$11.96,$29.25,($13.97),$90.00,($50.00),756.52,$23.63,$22.95,$10.99,18.07%,
7/2/2026,22,$719.91,$567.52,$975.22,($407.70),$12.48,($247.50),($247.50),68.18%,$25.80,$65.01,($58.24),$187.50,($247.50),522.94,$71.42,$66.36,$40.57,26.51%,
7/3/2026,14,$633.48,($86.43),$98.76,($185.19),$17.68,($113.51),($96.64),50.00%,($6.17),$14.11,($26.46),$30.42,($44.58),569.25,$18.84,$22.77,$28.94,16.87%,
7/6/2026,29,$1008.73,$375.25,$673.36,($298.11),$26.00,($188.51),($76.25),55.17%,$12.94,$42.09,($24.84),$90.42,($55.00),439.95,$35.99,$36.81,$23.87,34.94%,
7/7/2026,2,$1035.61,$26.88,$26.88,$0.00,$3.12,$0.00,$0.00,100.00%,$13.44,$13.44,$0.00,$17.92,$0.00,5.67,$15.00,$15.00,$1.56,2.41%,
