Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
1/5/2026,1,($8.15),($8.15),$0.00,($8.15),$1.90,($8.15),($8.15),0.00%,($8.15),$0.00,($8.15),$0.00,($8.15),0.00,$6.25,$0.00,$8.15,0.83%,
1/8/2026,1,$9.95,$18.10,$18.10,$0.00,$1.90,$0.00,$0.00,100.00%,$18.10,$18.10,$0.00,$18.10,$0.00,0.00,$0.00,$20.00,$1.90,0.83%,
1/9/2026,2,$19.90,$9.95,$25.60,($15.65),$3.80,($15.65),($15.65),50.00%,$4.98,$25.60,($15.65),$25.60,($15.65),0.00,$6.88,$13.75,$8.78,1.67%,
1/13/2026,1,$43.00,$23.10,$23.10,$0.00,$1.90,$0.00,$0.00,100.00%,$23.10,$23.10,$0.00,$23.10,$0.00,0.00,$0.00,$25.00,$1.90,0.83%,
1/20/2026,3,$27.30,($15.70),$19.35,($35.05),$5.70,($35.05),($35.05),33.33%,($5.23),$19.35,($17.53),$19.35,($19.40),295.00,$10.42,$14.58,$19.82,2.50%,
1/21/2026,4,($11.55),($38.85),$1.20,($40.05),$7.60,($75.10),($40.05),50.00%,($9.71),$0.60,($20.03),$0.60,($31.90),355.00,$27.19,$15.31,$25.03,3.33%,
1/22/2026,1,$21.55,$33.10,$33.10,$0.00,$1.90,($40.80),$0.00,100.00%,$33.10,$33.10,$0.00,$33.10,$0.00,0.00,$0.00,$35.00,$1.90,0.83%,
1/23/2026,2,($19.75),($41.30),$0.00,($41.30),$3.80,($82.10),($41.30),0.00%,($20.65),$0.00,($20.65),$0.00,($20.65),10.00,$18.75,$20.00,$40.65,1.67%,
1/29/2026,1,($29.15),($9.40),$0.00,($9.40),$1.90,($91.50),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),0.00,$7.50,$0.00,$9.40,0.83%,
2/3/2026,4,($55.50),($26.35),$29.35,($55.70),$7.60,($145.30),($53.80),25.00%,($6.59),$29.35,($18.57),$29.35,($26.90),15.00,$12.50,$7.81,$14.40,3.33%,
2/4/2026,7,$116.20,$171.70,$177.40,($5.70),$13.30,($77.90),($3.80),57.14%,$24.53,$44.35,($1.90),$51.85,($1.90),300.00,$2.32,$34.29,$9.76,5.83%,
2/5/2026,1,$104.30,($11.90),$0.00,($11.90),$1.90,($15.70),($11.90),0.00%,($11.90),$0.00,($11.90),$0.00,($11.90),0.00,$10.00,$0.00,$11.90,0.83%,
2/11/2026,1,$76.15,($28.15),$0.00,($28.15),$1.90,($43.85),($28.15),0.00%,($28.15),$0.00,($28.15),$0.00,($28.15),0.00,$26.25,$0.00,$28.15,0.83%,
2/12/2026,2,$141.10,$64.95,$64.95,$0.00,$3.80,($18.25),$0.00,100.00%,$32.48,$32.48,$0.00,$39.35,$0.00,0.00,$9.38,$34.38,$1.90,1.67%,
2/17/2026,1,$120.45,($20.65),$0.00,($20.65),$1.90,($20.65),($20.65),0.00%,($20.65),$0.00,($20.65),$0.00,($20.65),0.00,$18.75,$0.00,$20.65,0.83%,
2/18/2026,3,$169.75,$49.30,$51.20,($1.90),$5.70,($1.90),($1.90),66.67%,$16.43,$25.60,($1.90),$26.85,($1.90),0.00,$0.00,$18.33,$1.90,2.50%,
2/19/2026,2,$218.45,$48.70,$48.70,$0.00,$3.80,$0.00,$0.00,100.00%,$24.35,$24.35,$0.00,$24.35,$0.00,5.00,$17.50,$26.25,$1.90,1.67%,
2/23/2026,4,$163.35,($55.10),$0.00,($55.10),$7.60,($55.10),($55.10),0.00%,($13.78),$0.00,($13.78),$0.00,($14.40),430.00,$11.88,$0.00,$13.78,3.33%,
2/24/2026,1,$157.70,($5.65),$0.00,($5.65),$1.90,($60.75),($5.65),0.00%,($5.65),$0.00,($5.65),$0.00,($5.65),5.00,$16.25,$7.50,$13.15,0.83%,
2/26/2026,1,$175.80,$18.10,$18.10,$0.00,$1.90,($42.65),$0.00,100.00%,$18.10,$18.10,$0.00,$18.10,$0.00,10.00,$11.25,$20.00,$1.90,0.83%,
3/2/2026,1,$146.40,($29.40),$0.00,($29.40),$1.90,($72.05),($29.40),0.00%,($29.40),$0.00,($29.40),$0.00,($29.40),5.00,$27.50,$7.50,$36.90,0.83%,
3/3/2026,3,$210.70,$64.30,$91.20,($26.90),$5.70,($69.60),($26.90),66.67%,$21.43,$45.60,($26.90),$61.85,($26.90),0.00,$8.33,$31.67,$10.23,2.50%,
3/5/2026,1,$187.55,($23.15),$0.00,($23.15),$1.90,($30.90),($23.15),0.00%,($23.15),$0.00,($23.15),$0.00,($23.15),0.00,$21.25,$0.00,$23.15,0.83%,
3/6/2026,1,$253.15,$65.60,$65.60,$0.00,$1.90,$0.00,$0.00,100.00%,$65.60,$65.60,$0.00,$65.60,$0.00,20.00,$6.25,$67.50,$1.90,0.83%,
3/10/2026,1,$206.25,($46.90),$0.00,($46.90),$1.90,($46.90),($46.90),0.00%,($46.90),$0.00,($46.90),$0.00,($46.90),0.00,$45.00,$0.00,$46.90,0.83%,
3/11/2026,3,$138.05,($68.20),$0.00,($68.20),$5.70,($115.10),($68.20),0.00%,($22.73),$0.00,($22.73),$0.00,($28.15),5.00,$20.83,$0.00,$22.73,2.50%,
3/13/2026,1,$198.65,$60.60,$60.60,$0.00,$1.90,($54.50),$0.00,100.00%,$60.60,$60.60,$0.00,$60.60,$0.00,5.00,$11.25,$62.50,$1.90,0.83%,
3/18/2026,2,$226.10,$27.45,$38.10,($10.65),$3.80,($27.05),($10.65),50.00%,$13.73,$38.10,($10.65),$38.10,($10.65),375.00,$15.63,$20.00,$6.28,1.67%,
