Performance,All trades,Long trades,Short trades,
Total net profit,$1422.01,$1011.08,$410.93,
Gross profit,$3395.04,$2258.74,$1136.30,
Gross loss,($1973.03),($1247.66),($725.37),
Commission,$162.24,$101.92,$60.32,
Profit factor,1.72,1.81,1.57,
Max. drawdown,($403.28),($487.48),($314.16),
Sharpe ratio,3.18,3.10,1.17,
Sortino ratio,142.26,80.17,1.00,
Ulcer index,0.00,0.00,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.67%,0.79%,15.34%,
,,,,
Start date,6/30/2026,,,
Start time,12:00 AM,,,
End date,7/7/2026,,,
End time,11:59 PM,,,
,,,,
Total # of trades,161,107,54,
Percent profitable,59.63%,62.62%,53.70%,
# of winning trades,96,67,29,
# of losing trades,63,39,24,
# of even trades,2,1,1,
,,,,
Avg. trade,$8.83,$9.45,$7.61,
Avg. winning trade,$35.37,$33.71,$39.18,
Avg. losing trade,($31.32),($31.99),($30.22),
Ratio avg. win / avg. loss,1.13,1.05,1.30,
,,,,
Max. consec. winners,17,19,8,
Max. consec. losers,8,7,5,
Largest winning trade,$187.50,$187.50,$117.50,
Largest losing trade,($247.50),($247.50),($100.00),
,,,,
Avg. # of trades per day,29.15,19.37,9.78,
Avg. time in market,26.02 min,32.37 min,13.43 min,
Profit per month,$5421.41,$3854.74,$1566.67,
Max. time to recover,3.86 days,4.68 days,3.56 days,
Longest flat period,2.51 days,2.57 days,2.90 days,
,,,,
Avg. MAE,$34.88,$34.97,$34.71,
Avg. MFE,$34.84,$34.55,$35.39,
Avg. ETD,$26.00,$25.10,$27.78,
