Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MES 09-26,Sell,1,7502.25,7/2/2026 3:35:00 PM,NT-00239-147,Exit,-,NT-00368-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7507.25,7/2/2026 3:35:00 PM,NT-00238-147,Exit,1 L,NT-00367-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Buy,1,7502.25,7/2/2026 3:35:00 PM,NT-00237-147,Entry,2 L,NT-00365-147,A60L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7502.25,7/2/2026 3:35:00 PM,NT-00236-147,Entry,1 L,NT-00364-147,A60L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7498.25,7/2/2026 1:25:00 PM,NT-00235-147,Exit,-,NT-00362-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7498.25,7/2/2026 1:25:00 PM,NT-00234-147,Exit,1 S,NT-00360-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7494.50,7/2/2026 1:25:00 PM,NT-00233-147,Entry,2 S,NT-00359-147,C59L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7494.50,7/2/2026 1:25:00 PM,NT-00232-147,Entry,1 S,NT-00358-147,C59L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7501.75,7/2/2026 1:05:00 PM,NT-00231-147,Exit,-,NT-00357-147,Roll,$0.95,1,Backtest,,
MES 09-26,Buy,1,7501.75,7/2/2026 1:05:00 PM,NT-00230-147,Exit,1 S,NT-00356-147,Roll,$0.95,1,Backtest,,
MES 09-26,Sell,1,7514.50,7/2/2026 12:30:00 PM,NT-00229-147,Entry,2 S,NT-00351-147,C58L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7514.50,7/2/2026 12:30:00 PM,NT-00228-147,Entry,1 S,NT-00350-147,C58L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7540.75,7/2/2026 11:30:00 AM,NT-00227-147,Exit,-,NT-00348-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7540.75,7/2/2026 11:30:00 AM,NT-00226-147,Exit,1 S,NT-00346-147,Stop loss,$0.95,1,Backtest,,
