Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MES 09-26,Sell,1,7527.00,7/2/2026 11:25:00 AM,NT-00225-147,Entry,2 S,NT-00345-147,C57L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7527.00,7/2/2026 11:25:00 AM,NT-00224-147,Entry,1 S,NT-00344-147,C57L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7428.75,6/24/2026 1:25:00 PM,NT-00223-147,Exit,-,NT-00343-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Buy,1,7428.75,6/24/2026 1:25:00 PM,NT-00222-147,Exit,1 S,NT-00341-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7444.00,6/24/2026 1:20:00 PM,NT-00221-147,Entry,2 S,NT-00339-147,C56L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7444.00,6/24/2026 1:20:00 PM,NT-00220-147,Entry,1 S,NT-00338-147,C56L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7377.25,6/11/2026 12:20:00 PM,NT-00219-147,Exit,-,NT-00336-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7377.25,6/11/2026 12:20:00 PM,NT-00218-147,Exit,1 L,NT-00334-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7382.00,6/11/2026 12:20:00 PM,NT-00217-147,Entry,2 L,NT-00333-147,C55L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7382.00,6/11/2026 12:20:00 PM,NT-00216-147,Entry,1 L,NT-00332-147,C55L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7407.00,6/10/2026 11:25:00 AM,NT-00215-147,Exit,-,NT-00330-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7407.00,6/10/2026 11:25:00 AM,NT-00214-147,Exit,1 S,NT-00328-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7391.00,6/10/2026 11:20:00 AM,NT-00213-147,Entry,2 S,NT-00327-147,C54L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7391.00,6/10/2026 11:20:00 AM,NT-00212-147,Entry,1 S,NT-00326-147,C54L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7453.25,6/10/2026 10:30:00 AM,NT-00211-147,Exit,-,NT-00324-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7453.25,6/10/2026 10:30:00 AM,NT-00210-147,Exit,1 L,NT-00322-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7466.50,6/10/2026 10:30:00 AM,NT-00209-147,Entry,2 L,NT-00321-147,C53L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7466.50,6/10/2026 10:30:00 AM,NT-00208-147,Entry,1 L,NT-00320-147,C53L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7424.00,6/9/2026 2:25:00 PM,NT-00207-147,Exit,-,NT-00318-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7424.00,6/9/2026 2:25:00 PM,NT-00206-147,Exit,1 L,NT-00316-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7429.50,6/9/2026 2:25:00 PM,NT-00205-147,Entry,2 L,NT-00315-147,C52L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7429.50,6/9/2026 2:25:00 PM,NT-00204-147,Entry,1 L,NT-00314-147,C52L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7358.50,6/9/2026 12:40:00 PM,NT-00203-147,Exit,-,NT-00312-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7316.00,6/9/2026 12:40:00 PM,NT-00202-147,Exit,1 S,NT-00311-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7358.50,6/9/2026 12:35:00 PM,NT-00201-147,Entry,2 S,NT-00309-147,C51L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7358.50,6/9/2026 12:35:00 PM,NT-00200-147,Entry,1 S,NT-00308-147,C51L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7520.75,6/8/2026 11:50:00 AM,NT-00199-147,Exit,-,NT-00306-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7520.75,6/8/2026 11:50:00 AM,NT-00198-147,Exit,1 L,NT-00304-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7520.75,6/8/2026 11:45:00 AM,NT-00197-147,Entry,2 L,NT-00303-147,A50L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7520.75,6/8/2026 11:45:00 AM,NT-00196-147,Entry,1 L,NT-00302-147,A50L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7521.50,6/8/2026 8:55:00 AM,NT-00195-147,Exit,-,NT-00300-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7521.50,6/8/2026 8:55:00 AM,NT-00194-147,Exit,1 L,NT-00298-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7521.50,6/8/2026 8:35:00 AM,NT-00193-147,Entry,2 L,NT-00297-147,C49L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7521.50,6/8/2026 8:35:00 AM,NT-00192-147,Entry,1 L,NT-00296-147,C49L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7473.00,6/5/2026 3:35:00 PM,NT-00191-147,Exit,-,NT-00294-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7473.00,6/5/2026 3:35:00 PM,NT-00190-147,Exit,1 S,NT-00292-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7460.25,6/5/2026 3:20:00 PM,NT-00189-147,Entry,2 S,NT-00291-147,C48L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7460.25,6/5/2026 3:20:00 PM,NT-00188-147,Entry,1 S,NT-00290-147,C48L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7603.75,6/5/2026 9:45:00 AM,NT-00187-147,Exit,-,NT-00288-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7595.50,6/5/2026 9:45:00 AM,NT-00186-147,Exit,1 S,NT-00287-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7603.75,6/5/2026 9:45:00 AM,NT-00185-147,Entry,2 S,NT-00285-147,C47L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7603.75,6/5/2026 9:45:00 AM,NT-00184-147,Entry,1 S,NT-00284-147,C47L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7610.00,6/4/2026 8:50:00 AM,NT-00183-147,Exit,-,NT-00282-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7610.00,6/4/2026 8:50:00 AM,NT-00182-147,Exit,1 L,NT-00280-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7610.00,6/4/2026 8:45:00 AM,NT-00181-147,Entry,2 L,NT-00279-147,C46L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7610.00,6/4/2026 8:45:00 AM,NT-00180-147,Entry,1 L,NT-00278-147,C46L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7660.75,6/3/2026 10:40:00 AM,NT-00179-147,Exit,-,NT-00276-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7660.75,6/3/2026 10:40:00 AM,NT-00178-147,Exit,1 S,NT-00274-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7656.75,6/3/2026 10:40:00 AM,NT-00177-147,Entry,2 S,NT-00273-147,A45L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7656.75,6/3/2026 10:40:00 AM,NT-00176-147,Entry,1 S,NT-00272-147,A45L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7671.25,6/1/2026 1:05:00 PM,NT-00175-147,Exit,-,NT-00271-147,Roll,$0.95,1,Backtest,,
MES 09-26,Sell,1,7666.50,6/1/2026 12:55:00 PM,NT-00174-147,Exit,1 L,NT-00268-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Buy,1,7659.00,6/1/2026 12:30:00 PM,NT-00173-147,Entry,2 L,NT-00266-147,A44L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7659.00,6/1/2026 12:30:00 PM,NT-00172-147,Entry,1 L,NT-00265-147,A44L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7648.50,6/1/2026 11:05:00 AM,NT-00171-147,Exit,-,NT-00264-147,WndEnd,$0.95,1,Backtest,,
MES 09-26,Buy,1,7648.50,6/1/2026 11:05:00 AM,NT-00170-147,Exit,1 S,NT-00263-147,WndEnd,$0.95,1,Backtest,,
MES 09-26,Sell,1,7649.25,6/1/2026 10:40:00 AM,NT-00169-147,Entry,2 S,NT-00258-147,A43L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7649.25,6/1/2026 10:40:00 AM,NT-00168-147,Entry,1 S,NT-00257-147,A43L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7637.00,5/28/2026 11:45:00 AM,NT-00167-147,Exit,-,NT-00255-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7637.00,5/28/2026 11:45:00 AM,NT-00166-147,Exit,1 L,NT-00253-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7638.75,5/28/2026 11:45:00 AM,NT-00165-147,Entry,2 L,NT-00252-147,C42L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7638.75,5/28/2026 11:45:00 AM,NT-00164-147,Entry,1 L,NT-00251-147,C42L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7612.25,5/27/2026 8:20:00 AM,NT-00163-147,Exit,-,NT-00249-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7609.00,5/27/2026 8:20:00 AM,NT-00162-147,Exit,1 S,NT-00248-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7612.25,5/27/2026 8:20:00 AM,NT-00161-147,Entry,2 S,NT-00246-147,C41L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7612.25,5/27/2026 8:20:00 AM,NT-00160-147,Entry,1 S,NT-00245-147,C41L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7594.00,5/26/2026 12:45:00 PM,NT-00159-147,Exit,-,NT-00243-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7592.75,5/26/2026 12:45:00 PM,NT-00158-147,Exit,1 S,NT-00242-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7594.00,5/26/2026 12:45:00 PM,NT-00157-147,Entry,2 S,NT-00240-147,A40L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7594.00,5/26/2026 12:45:00 PM,NT-00156-147,Entry,1 S,NT-00239-147,A40L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7530.25,5/21/2026 3:45:00 PM,NT-00155-147,Exit,-,NT-00237-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7530.25,5/21/2026 3:45:00 PM,NT-00154-147,Exit,1 S,NT-00235-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7525.00,5/21/2026 3:40:00 PM,NT-00153-147,Entry,2 S,NT-00234-147,A39L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7525.00,5/21/2026 3:40:00 PM,NT-00152-147,Entry,1 S,NT-00233-147,A39L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7496.50,5/20/2026 11:30:00 AM,NT-00151-147,Exit,-,NT-00231-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7496.50,5/20/2026 11:30:00 AM,NT-00150-147,Exit,1 L,NT-00229-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7506.00,5/20/2026 11:25:00 AM,NT-00149-147,Entry,2 L,NT-00228-147,C38L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7506.00,5/20/2026 11:25:00 AM,NT-00148-147,Entry,1 L,NT-00227-147,C38L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7466.50,5/12/2026 2:50:00 PM,NT-00147-147,Exit,-,NT-00225-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7466.50,5/12/2026 2:50:00 PM,NT-00146-147,Exit,1 L,NT-00223-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7466.50,5/12/2026 2:30:00 PM,NT-00145-147,Entry,2 L,NT-00222-147,C37L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7466.50,5/12/2026 2:30:00 PM,NT-00144-147,Entry,1 L,NT-00221-147,C37L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7441.00,5/12/2026 11:40:00 AM,NT-00143-147,Exit,-,NT-00219-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7434.50,5/12/2026 11:25:00 AM,NT-00142-147,Exit,1 S,NT-00218-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,7441.00,5/12/2026 11:20:00 AM,NT-00141-147,Entry,2 S,NT-00216-147,C36L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7441.00,5/12/2026 11:20:00 AM,NT-00140-147,Entry,1 S,NT-00215-147,C36L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7283.00,5/4/2026 12:20:00 PM,NT-00139-147,Exit,-,NT-00213-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7283.00,5/4/2026 12:20:00 PM,NT-00138-147,Exit,1 S,NT-00211-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7272.00,5/4/2026 12:20:00 PM,NT-00137-147,Entry,2 S,NT-00210-147,C35L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7272.00,5/4/2026 12:20:00 PM,NT-00136-147,Entry,1 S,NT-00209-147,C35L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7356.00,5/1/2026 10:35:00 AM,NT-00135-147,Exit,-,NT-00207-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7356.00,5/1/2026 10:35:00 AM,NT-00134-147,Exit,1 L,NT-00205-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7360.00,5/1/2026 10:20:00 AM,NT-00133-147,Entry,2 L,NT-00204-147,C34L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7360.00,5/1/2026 10:20:00 AM,NT-00132-147,Entry,1 L,NT-00203-147,C34L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7300.75,4/30/2026 3:05:00 PM,NT-00131-147,Exit,-,NT-00202-147,WndEnd,$0.95,1,Backtest,,
MES 09-26,Sell,1,7300.75,4/30/2026 3:05:00 PM,NT-00130-147,Exit,1 L,NT-00201-147,WndEnd,$0.95,1,Backtest,,
MES 09-26,Buy,1,7295.25,4/30/2026 2:20:00 PM,NT-00129-147,Entry,2 L,NT-00196-147,C33L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7295.25,4/30/2026 2:20:00 PM,NT-00128-147,Entry,1 L,NT-00195-147,C33L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7257.75,4/30/2026 11:40:00 AM,NT-00127-147,Exit,-,NT-00193-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7257.75,4/30/2026 11:40:00 AM,NT-00126-147,Exit,1 L,NT-00191-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7259.50,4/30/2026 11:30:00 AM,NT-00125-147,Entry,2 L,NT-00190-147,C32L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7259.50,4/30/2026 11:30:00 AM,NT-00124-147,Entry,1 L,NT-00189-147,C32L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7219.25,4/28/2026 8:25:00 AM,NT-00123-147,Exit,-,NT-00187-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7219.25,4/28/2026 8:25:00 AM,NT-00122-147,Exit,1 S,NT-00185-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7216.75,4/28/2026 8:25:00 AM,NT-00121-147,Entry,2 S,NT-00184-147,C31L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7216.75,4/28/2026 8:25:00 AM,NT-00120-147,Entry,1 S,NT-00183-147,C31L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7200.00,4/17/2026 9:25:00 AM,NT-00119-147,Exit,-,NT-00181-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7200.00,4/17/2026 9:25:00 AM,NT-00118-147,Exit,1 L,NT-00179-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7209.00,4/17/2026 9:20:00 AM,NT-00117-147,Entry,2 L,NT-00178-147,C30L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7209.00,4/17/2026 9:20:00 AM,NT-00116-147,Entry,1 L,NT-00177-147,C30L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,7127.25,4/16/2026 1:20:00 PM,NT-00115-147,Exit,-,NT-00175-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7127.25,4/16/2026 1:20:00 PM,NT-00114-147,Exit,1 S,NT-00173-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7125.50,4/16/2026 1:20:00 PM,NT-00113-147,Entry,2 S,NT-00172-147,C29L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,7125.50,4/16/2026 1:20:00 PM,NT-00112-147,Entry,1 S,NT-00171-147,C29L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7148.25,4/16/2026 12:25:00 PM,NT-00111-147,Exit,-,NT-00169-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7148.25,4/16/2026 12:25:00 PM,NT-00110-147,Exit,1 L,NT-00167-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7149.25,4/16/2026 12:20:00 PM,NT-00109-147,Entry,2 L,NT-00166-147,C28L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7149.25,4/16/2026 12:20:00 PM,NT-00108-147,Entry,1 L,NT-00165-147,C28L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7123.50,4/15/2026 3:35:00 PM,NT-00107-147,Exit,-,NT-00163-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7123.50,4/15/2026 3:35:00 PM,NT-00106-147,Exit,1 L,NT-00161-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7125.00,4/15/2026 3:35:00 PM,NT-00105-147,Entry,2 L,NT-00160-147,C27L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7125.00,4/15/2026 3:35:00 PM,NT-00104-147,Entry,1 L,NT-00159-147,C27L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,6917.75,4/13/2026 10:40:00 AM,NT-00103-147,Exit,-,NT-00157-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6917.75,4/13/2026 10:40:00 AM,NT-00102-147,Exit,1 L,NT-00155-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6922.50,4/13/2026 10:40:00 AM,NT-00101-147,Entry,2 L,NT-00154-147,C26L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,6922.50,4/13/2026 10:40:00 AM,NT-00100-147,Entry,1 L,NT-00153-147,C26L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,6926.25,4/9/2026 1:05:00 PM,NT-00099-147,Exit,-,NT-00152-147,WndEnd,$0.95,1,Backtest,,
MES 09-26,Sell,1,6926.25,4/9/2026 1:05:00 PM,NT-00098-147,Exit,1 L,NT-00151-147,WndEnd,$0.95,1,Backtest,,
MES 09-26,Buy,1,6926.75,4/9/2026 12:35:00 PM,NT-00097-147,Entry,2 L,NT-00146-147,C25L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,6926.75,4/9/2026 12:35:00 PM,NT-00096-147,Entry,1 L,NT-00145-147,C25L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6699.50,3/23/2026 12:40:00 PM,NT-00095-147,Exit,-,NT-00143-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6699.50,3/23/2026 12:40:00 PM,NT-00094-147,Exit,1 S,NT-00141-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6697.00,3/23/2026 12:30:00 PM,NT-00093-147,Entry,2 S,NT-00140-147,C24L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6697.00,3/23/2026 12:30:00 PM,NT-00092-147,Entry,1 S,NT-00139-147,C24L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6590.75,3/20/2026 3:40:00 PM,NT-00091-147,Exit,-,NT-00138-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Buy,1,6590.75,3/20/2026 3:40:00 PM,NT-00090-147,Exit,1 S,NT-00136-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,6608.50,3/20/2026 3:30:00 PM,NT-00089-147,Entry,2 S,NT-00134-147,C23L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6608.50,3/20/2026 3:30:00 PM,NT-00088-147,Entry,1 S,NT-00133-147,C23L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6669.50,3/20/2026 10:35:00 AM,NT-00087-147,Exit,-,NT-00131-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6669.50,3/20/2026 10:35:00 AM,NT-00086-147,Exit,1 S,NT-00129-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6659.50,3/20/2026 10:30:00 AM,NT-00085-147,Entry,2 S,NT-00128-147,C22L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6659.50,3/20/2026 10:30:00 AM,NT-00084-147,Entry,1 S,NT-00127-147,C22L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6687.75,3/19/2026 9:20:00 AM,NT-00083-147,Exit,-,NT-00125-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6687.75,3/19/2026 9:20:00 AM,NT-00082-147,Exit,1 S,NT-00123-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6685.50,3/19/2026 9:20:00 AM,NT-00081-147,Entry,2 S,NT-00122-147,C21L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6685.50,3/19/2026 9:20:00 AM,NT-00080-147,Entry,1 S,NT-00121-147,C21L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6740.50,3/18/2026 4:05:00 PM,NT-00079-147,Exit,-,NT-00120-147,WndEnd,$0.95,1,Backtest,,
MES 09-26,Buy,1,6745.25,3/18/2026 3:45:00 PM,NT-00078-147,Exit,1 S,NT-00117-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Sell,1,6753.25,3/18/2026 3:30:00 PM,NT-00077-147,Entry,2 S,NT-00115-147,C20L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6753.25,3/18/2026 3:30:00 PM,NT-00076-147,Entry,1 S,NT-00114-147,C20L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6776.75,3/13/2026 11:35:00 AM,NT-00075-147,Exit,-,NT-00112-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6776.75,3/13/2026 11:35:00 AM,NT-00074-147,Exit,1 S,NT-00110-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6772.25,3/13/2026 11:35:00 AM,NT-00073-147,Entry,2 S,NT-00109-147,C19L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6772.25,3/13/2026 11:35:00 AM,NT-00072-147,Entry,1 S,NT-00108-147,C19L1,$0.95,1,Backtest,,
MES 09-26,Buy,1,6851.50,3/6/2026 9:45:00 AM,NT-00071-147,Exit,-,NT-00106-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,6851.50,3/6/2026 9:45:00 AM,NT-00070-147,Exit,1 S,NT-00104-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,6842.00,3/6/2026 9:45:00 AM,NT-00069-147,Entry,2 S,NT-00103-147,C18L2,$0.95,1,Backtest,,
MES 09-26,Sell,1,6842.00,3/6/2026 9:45:00 AM,NT-00068-147,Entry,1 S,NT-00102-147,C18L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7006.75,3/2/2026 12:25:00 PM,NT-00067-147,Exit,-,NT-00100-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7006.75,3/2/2026 12:25:00 PM,NT-00066-147,Exit,1 L,NT-00098-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Buy,1,7007.50,3/2/2026 12:25:00 PM,NT-00065-147,Entry,2 L,NT-00097-147,C17L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7007.50,3/2/2026 12:25:00 PM,NT-00064-147,Entry,1 L,NT-00096-147,C17L1,$0.95,1,Backtest,,
MES 09-26,Sell,1,7025.75,2/26/2026 2:30:00 PM,NT-00063-147,Exit,-,NT-00094-147,Stop loss,$0.95,1,Backtest,,
MES 09-26,Sell,1,7033.00,2/26/2026 2:25:00 PM,NT-00062-147,Exit,1 L,NT-00093-147,Profit target,$0.95,1,Backtest,,
MES 09-26,Buy,1,7025.75,2/26/2026 2:20:00 PM,NT-00061-147,Entry,2 L,NT-00091-147,C16L2,$0.95,1,Backtest,,
MES 09-26,Buy,1,7025.75,2/26/2026 2:20:00 PM,NT-00060-147,Entry,1 L,NT-00090-147,C16L1,$0.95,1,Backtest,,
