Performance,All trades,Long trades,Short trades,
Total net profit,($694.10),($152.90),($541.20),
Gross profit,$2252.85,$838.60,$1414.25,
Gross loss,($2946.95),($991.50),($1955.45),
Commission,$454.10,$172.90,$281.20,
Profit factor,0.76,0.85,0.72,
Max. drawdown,($694.10),($238.75),($541.20),
Sharpe ratio,-0.39,-0.28,-0.38,
Sortino ratio,-0.45,-0.37,-0.39,
Ulcer index,0.01,0.00,0.01,
R squared,0.11,0.07,0.14,
Total Fees,$0.00,$0.00,$0.00,
Probability,95.35%,74.75%,94.50%,
,,,,
Start date,7/1/2025,,,
Start time,12:00 AM,,,
End date,7/5/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,239,91,148,
Percent profitable,35.98%,34.07%,37.16%,
# of winning trades,86,31,55,
# of losing trades,153,60,93,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,($2.90),($1.68),($3.66),
Avg. winning trade,$26.20,$27.05,$25.71,
Avg. losing trade,($19.26),($16.53),($21.03),
Ratio avg. win / avg. loss,1.36,1.64,1.22,
,,,,
Max. consec. winners,5,4,4,
Max. consec. losers,15,10,10,
Largest winning trade,$73.10,$65.60,$73.10,
Largest losing trade,($78.15),($63.15),($78.15),
,,,,
Avg. # of trades per day,0.95,0.37,0.60,
Avg. time in market,3.83 min,4.01 min,3.72 min,
Avg. bars in trade,0.77,0.80,0.74,
Profit per month,($57.84),($12.92),($45.98),
Max. time to recover,365.03 days,343.97 days,357.97 days,
Longest flat period,12.09 days,21.89 days,13.21 days,
,,,,
Avg. MAE,$13.55,$12.83,$13.99,
Avg. MFE,$15.09,$14.13,$15.68,
Avg. ETD,$17.99,$15.81,$19.33,
