Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES 09-26,Backtest,RollingFib,Long,1,7070.50,7068.50,1/8/2026 11:40:00 AM,1/8/2026 11:40:00 AM,A1L1,Stop loss,($11.90),($11.90),$1.90,$0.00,$0.00,$0.00,$0.00,$10.00,$0.00,$11.90,1,
2,MES 09-26,Backtest,RollingFib,Long,1,7070.50,7068.50,1/8/2026 11:40:00 AM,1/8/2026 11:40:00 AM,A1L2,Stop loss,($11.90),($23.80),$1.90,$0.00,$0.00,$0.00,$0.00,$10.00,$0.00,$11.90,1,
3,MES 09-26,Backtest,RollingFib,Long,1,7119.50,7117.75,1/9/2026 12:20:00 PM,1/9/2026 12:20:00 PM,C2L1,Stop loss,($10.65),($34.45),$1.90,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,$10.65,1,
4,MES 09-26,Backtest,RollingFib,Long,1,7119.50,7117.75,1/9/2026 12:20:00 PM,1/9/2026 12:20:00 PM,C2L2,Stop loss,($10.65),($45.10),$1.90,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,$10.65,1,
5,MES 09-26,Backtest,RollingFib,Short,1,7099.25,7094.00,1/15/2026 3:20:00 PM,1/15/2026 3:20:00 PM,C3L1,Profit target,$24.35,($20.75),$1.90,$0.00,$0.00,$0.00,$0.00,$0.00,$26.25,$1.90,1,
6,MES 09-26,Backtest,RollingFib,Short,1,7099.25,7099.25,1/15/2026 3:20:00 PM,1/15/2026 3:20:00 PM,C3L2,Stop loss,($1.90),($22.65),$1.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.90,1,
7,MES 09-26,Backtest,RollingFib,Short,1,6979.50,6984.75,1/20/2026 9:25:00 AM,1/20/2026 9:30:00 AM,A4L1,Stop loss,($28.15),($50.80),$1.90,$0.00,$0.00,$0.00,$0.00,$26.25,$7.50,$35.65,2,
8,MES 09-26,Backtest,RollingFib,Short,1,6979.50,6984.75,1/20/2026 9:25:00 AM,1/20/2026 9:30:00 AM,A4L2,Stop loss,($28.15),($78.95),$1.90,$0.00,$0.00,$0.00,$0.00,$26.25,$7.50,$35.65,2,
9,MES 09-26,Backtest,RollingFib,Short,1,6973.25,6962.75,1/20/2026 1:30:00 PM,1/20/2026 1:45:00 PM,C5L1,Profit target,$50.60,($28.35),$1.90,$0.00,$0.00,$0.00,$0.00,$11.25,$52.50,$1.90,4,
10,MES 09-26,Backtest,RollingFib,Short,1,6973.25,6951.75,1/20/2026 1:30:00 PM,1/20/2026 1:55:00 PM,C5L2,Profit target,$105.60,$77.25,$1.90,$0.00,$0.00,$0.00,$0.00,$11.25,$107.50,$1.90,6,
11,MES 09-26,Backtest,RollingFib,Short,1,6944.00,6949.75,1/20/2026 2:40:00 PM,1/20/2026 2:40:00 PM,C6L1,Stop loss,($30.65),$46.60,$1.90,$0.00,$0.00,$0.00,$0.00,$28.75,$0.00,$30.65,1,
12,MES 09-26,Backtest,RollingFib,Short,1,6944.00,6949.75,1/20/2026 2:40:00 PM,1/20/2026 2:40:00 PM,C6L2,Stop loss,($30.65),$15.95,$1.90,$0.00,$0.00,$0.00,$0.00,$28.75,$0.00,$30.65,1,
13,MES 09-26,Backtest,RollingFib,Long,1,6996.75,6995.50,1/21/2026 10:25:00 AM,1/21/2026 10:25:00 AM,C7L1,Stop loss,($8.15),$7.80,$1.90,$0.00,$0.00,$0.00,$0.00,$6.25,$0.00,$8.15,1,
14,MES 09-26,Backtest,RollingFib,Long,1,6996.75,6995.50,1/21/2026 10:25:00 AM,1/21/2026 10:25:00 AM,C7L2,Stop loss,($8.15),($0.35),$1.90,$0.00,$0.00,$0.00,$0.00,$6.25,$0.00,$8.15,1,
15,MES 09-26,Backtest,RollingFib,Short,1,6967.50,6968.75,1/21/2026 12:35:00 PM,1/21/2026 12:45:00 PM,C8L1,Stop loss,($8.15),($8.50),$1.90,$0.00,$0.00,$0.00,$0.00,$6.25,$42.50,$50.65,3,
16,MES 09-26,Backtest,RollingFib,Short,1,6967.50,6968.75,1/21/2026 12:35:00 PM,1/21/2026 12:45:00 PM,C8L2,Stop loss,($8.15),($16.65),$1.90,$0.00,$0.00,$0.00,$0.00,$6.25,$42.50,$50.65,3,
17,MES 09-26,Backtest,RollingFib,Long,1,7084.25,7081.00,1/29/2026 2:35:00 PM,1/29/2026 2:35:00 PM,C9L1,Stop loss,($18.15),($34.80),$1.90,$0.00,$0.00,$0.00,$0.00,$16.25,$0.00,$18.15,1,
18,MES 09-26,Backtest,RollingFib,Long,1,7084.25,7081.00,1/29/2026 2:35:00 PM,1/29/2026 2:35:00 PM,C9L2,Stop loss,($18.15),($52.95),$1.90,$0.00,$0.00,$0.00,$0.00,$16.25,$0.00,$18.15,1,
19,MES 09-26,Backtest,RollingFib,Short,1,7026.00,7011.75,2/3/2026 1:20:00 PM,2/3/2026 2:00:00 PM,C10L1,Profit target,$69.35,$16.40,$1.90,$0.00,$0.00,$0.00,$0.00,$32.50,$71.25,$1.90,9,
20,MES 09-26,Backtest,RollingFib,Short,1,7026.00,7011.75,2/3/2026 1:20:00 PM,2/3/2026 2:00:00 PM,C10L2,Profit target,$69.35,$85.75,$1.90,$0.00,$0.00,$0.00,$0.00,$32.50,$71.25,$1.90,9,
21,MES 09-26,Backtest,RollingFib,Short,1,7020.75,7024.00,2/3/2026 2:35:00 PM,2/3/2026 2:35:00 PM,A11L1,Stop loss,($18.15),$67.60,$1.90,$0.00,$0.00,$0.00,$0.00,$16.25,$0.00,$18.15,1,
22,MES 09-26,Backtest,RollingFib,Short,1,7020.75,7024.00,2/3/2026 2:35:00 PM,2/3/2026 2:35:00 PM,A11L2,Stop loss,($18.15),$49.45,$1.90,$0.00,$0.00,$0.00,$0.00,$16.25,$0.00,$18.15,1,
23,MES 09-26,Backtest,RollingFib,Short,1,6915.25,6922.00,2/5/2026 11:20:00 AM,2/5/2026 11:20:00 AM,C12L1,Stop loss,($35.65),$13.80,$1.90,$0.00,$0.00,$0.00,$0.00,$33.75,$0.00,$35.65,1,
24,MES 09-26,Backtest,RollingFib,Short,1,6915.25,6922.00,2/5/2026 11:20:00 AM,2/5/2026 11:20:00 AM,C12L2,Stop loss,($35.65),($21.85),$1.90,$0.00,$0.00,$0.00,$0.00,$33.75,$0.00,$35.65,1,
25,MES 09-26,Backtest,RollingFib,Short,1,6983.75,6986.75,2/19/2026 12:40:00 PM,2/19/2026 12:45:00 PM,A13L1,Stop loss,($16.90),($38.75),$1.90,$0.00,$0.00,$0.00,$0.00,$15.00,$20.00,$36.90,2,
26,MES 09-26,Backtest,RollingFib,Short,1,6983.75,6986.75,2/19/2026 12:40:00 PM,2/19/2026 12:45:00 PM,A13L2,Stop loss,($16.90),($55.65),$1.90,$0.00,$0.00,$0.00,$0.00,$15.00,$20.00,$36.90,2,
27,MES 09-26,Backtest,RollingFib,Long,1,7008.00,7002.25,2/24/2026 11:20:00 AM,2/24/2026 11:20:00 AM,C14L1,Stop loss,($30.65),($86.30),$1.90,$0.00,$0.00,$0.00,$0.00,$28.75,$0.00,$30.65,1,
28,MES 09-26,Backtest,RollingFib,Long,1,7008.00,7002.25,2/24/2026 11:20:00 AM,2/24/2026 11:20:00 AM,C14L2,Stop loss,($30.65),($116.95),$1.90,$0.00,$0.00,$0.00,$0.00,$28.75,$0.00,$30.65,1,
